PrimaryPropertyType,Neighborhood,NumberofBuildings,PropertyGFATotal,LargestPropertyUseType,SecondLargestPropertyUseType,SiteEnergyUse(kBtu),ElectricityProp,SteamProp,GasProp,Age,BuildingArea,ParkingArea,LargestUsedArea,SecondLargestUsedArea
Medical Office,NORTH,1.0,28841,Medical Office,NONE,1459199.75,0.6546903533940436,0.0,0.34530913262560525,28,1.0,0.0,1.0,0.0
Self-Storage Facility,NORTH,2.0,33344,Self-Storage Facility,Office,123767.2031,0.9999983590160001,0.0,0.0,39,1.0,0.0,0.9404990403071017,0.029510556621881
Other,NORTH,2.0,30498,Other - Recreation,NONE,2436063.0,0.43768408288291394,0.0,0.5623159171170861,11,1.0,0.0,1.0,0.0
K-12 School,DELRIDGE,1.0,42975,K-12 School,NONE,959352.0,0.1805020472152036,0.0,0.8194979527847964,92,1.0,0.0,0.4980802792321117,0.0
Other,DELRIDGE,1.0,23260,"Repair Services (Vehicle, Shoe, Locksmith, etc)",Office,1612105.75,0.44648373718659584,0.0,0.5535164178900794,53,1.0,0.0,0.5621238177128117,0.43787618228718833
Small and Mid-Sized Office,DELRIDGE,1.0,30659,Office,Non-Refrigerated Warehouse,2619088.5,0.6889373917681667,0.0,0.31106241732572226,28,1.0,0.0,0.8892005610098177,0.28223360187873053
Other,MAGNOLIA / QUEEN ANNE,1.0,27144,Other,NONE,1012024.313,0.45334483974991224,0.0,0.5466548509689806,96,1.0,0.0,1.0,0.0
Other,NORTHWEST,5.0,23166,Other,NONE,3475804.25,8.631095954267275e-07,0.0,0.999999064964605,46,1.0,0.0,1.0,0.0
Medical Office,NORTHWEST,1.0,34759,Medical Office,Parking,1633105.375,0.9999997703761155,0.0,0.0,37,1.0,0.0,1.0,0.0
Hospital,NORTHWEST,8.0,415632,Hospital (General Medical & Surgical),Parking,98960776.0,0.43314290502329933,0.0,0.5668570343466183,50,1.0,0.0,1.0,0.0
Worship Facility,NORTHWEST,1.0,44719,Worship Facility,Medical Office,1614026.25,0.43659822756909933,0.0,0.5634016175387482,51,1.0,0.0,1.0,0.0
Supermarket / Grocery Store,GREATER DUWAMISH,1.0,21603,Supermarket/Grocery Store,NONE,5833800.0,0.6685278891974357,0.0,0.3314721108025644,51,1.0,0.0,1.0,0.0
